City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tautira,40,PF,1584236662,66,-17.73,-149.15,87.8,11.41
ostersund,91,SE,1584236662,58,63.18,14.64,26.6,12.75
edson,1,CA,1584236662,54,53.58,-116.44,3.2,8.05
angoche,97,MZ,1584236663,97,-16.23,39.91,70.21,4.56
badarpur,100,IN,1584236663,39,24.9,92.6,82.56,2.3
lamu,98,KE,1584236663,77,-2.27,40.9,83.86,9.86
barcelos,75,PT,1584236663,100,41.54,-8.62,50.0,2.24
pavino,100,RU,1584236663,76,59.11,46.14,22.53,5.48
zeya,10,RU,1584236663,81,53.75,127.27,6.51,6.85
ahipara,0,NZ,1584236423,71,-35.17,173.17,67.95,11.86
lorengau,99,PG,1584236663,74,-2.02,147.27,84.74,11.48
hagi,75,JP,1584236664,46,34.4,131.42,51.8,19.46
westport,75,US,1584236411,39,41.14,-73.36,50.0,13.87
namibe,87,AO,1584236461,76,-15.2,12.15,76.46,3.69
thunder bay,5,CA,1584236664,68,48.4,-89.32,24.8,3.36
rio cuarto,100,AR,1584236504,82,-33.13,-64.35,59.0,14.99
tonstad,90,NO,1584236664,87,58.66,6.72,44.6,28.86
rovaniemi,100,FI,1584236665,79,66.5,25.72,21.2,19.46
fertod,23,HU,1584236665,67,47.62,16.89,32.0,8.05
clyde river,1,CA,1584236665,74,70.47,-68.59,-27.4,4.7
pushkinskiye gory,4,RU,1584236665,66,57.02,28.91,24.06,6.33
dudinka,75,RU,1584236665,92,69.41,86.18,17.6,13.42
sawtell,100,AU,1584236665,93,-30.38,153.1,66.2,17.22
beaverlodge,5,CA,1584236644,49,55.22,-119.44,1.4,5.82
tura,85,IN,1584236665,62,25.52,90.22,74.1,9.82
broome,40,US,1584236484,69,42.25,-75.83,37.99,8.05
comodoro rivadavia,56,AR,1584236499,55,-45.87,-67.5,60.8,2.24
fare,0,PF,1584236666,75,-16.7,-151.02,83.12,12.01
saint-paul,100,RE,1584236666,73,-21.01,55.27,75.2,6.93
micheweni,66,TZ,1584236666,72,-4.97,39.83,84.58,5.84
longyearbyen,90,SJ,1584236504,70,78.22,15.64,-0.4,5.82
samarai,0,PG,1584236666,50,-10.62,150.67,90.18,9.08
carutapera,100,BR,1584236666,78,-1.2,-46.02,82.17,14.83
boddam,66,GB,1584236666,87,57.47,-1.78,42.8,8.05
obera,55,AR,1584236667,40,-27.49,-55.12,76.48,2.46
privolzhskiy,0,RU,1584236667,96,51.4,46.03,35.01,4.0
talavera de la reina,0,ES,1584236458,78,39.96,-4.83,49.35,1.39
west wendover,40,US,1584236667,30,40.74,-114.07,57.2,25.28
greenfield,90,US,1584236642,78,42.96,-88.01,33.01,17.22
kirkland lake,1,CA,1584236667,52,48.14,-80.04,19.4,9.17
sabha,0,LY,1584236507,20,27.04,14.43,60.37,6.33
eurajoki,1,FI,1584236667,73,61.2,21.73,24.8,8.05
yenagoa,44,NG,1584236668,92,4.92,6.26,77.79,3.42
rabat,20,MA,1584236668,93,33.99,-6.84,61.0,1.54
celestun,4,MX,1584236668,83,20.87,-90.4,77.36,19.98
teya,100,RU,1584236668,88,60.38,92.63,31.42,14.52
vao,99,NC,1584236586,82,-22.67,167.48,83.75,29.95
husavik,0,IS,1584236514,84,66.04,-17.34,1.4,6.93
awbari,0,LY,1584236669,21,26.59,12.78,58.69,6.76
prachuap khiri khan,19,TH,1584236470,75,11.82,99.78,84.31,12.55
sabancuy,0,MX,1584236669,89,18.97,-91.18,73.9,2.75
ahuimanu,90,US,1584236669,83,21.44,-157.84,80.6,8.05
kaitangata,100,NZ,1584236471,89,-46.28,169.85,57.27,19.69
fairfield,75,US,1584236669,45,41.27,-73.32,50.0,5.82
igarka,100,RU,1584236669,96,67.47,86.58,30.78,7.14
belaya gora,0,RU,1584236596,81,68.53,146.42,-14.13,2.64
hasaki,20,JP,1584236670,42,35.73,140.83,50.0,6.93
pesochnoye,100,RU,1584236670,74,58.01,39.18,21.06,10.38
adrar,0,MR,1584236670,10,20.5,-10.07,69.06,10.09
mayo,90,US,1584236670,61,38.89,-76.51,51.8,4.7
sovetskiy,15,RU,1584236670,86,61.36,63.58,28.09,6.29
gela,0,IT,1584236670,93,37.08,14.23,55.99,3.36
zakupne,0,UA,1584236670,75,49.12,26.34,28.0,11.01
porvoo,0,FI,1584236670,79,60.39,25.67,24.01,3.36
cabinda,100,AO,1584236671,83,-5.55,12.2,82.63,6.2
chester,1,US,1584236671,36,40.13,-75.87,52.0,6.93
novoagansk,100,RU,1584236671,97,61.94,76.66,32.54,18.52
lupiro,100,TZ,1584236671,96,-8.38,36.67,71.17,0.92
ialibu,100,PG,1584236671,88,-6.28,143.99,67.42,1.59
yaan,45,NG,1584236671,15,7.38,8.57,75.67,4.74
kangaatsiaq,100,GL,1584236671,88,68.31,-53.46,0.63,2.15
salgado,40,BR,1584236672,70,-11.03,-37.48,84.2,12.75
nouakchott,40,MR,1584236672,88,18.09,-15.98,68.0,10.29
tambopata,88,PE,1584236672,63,-12.73,-69.18,83.19,2.75
cairns,20,AU,1584236672,45,-16.92,145.77,90.0,11.41
ucluelet,20,CA,1584236547,26,48.93,-125.55,43.0,6.93
vila,4,PT,1584236672,100,42.03,-8.16,50.0,2.24
constitucion,0,CL,1584236673,62,-35.33,-72.42,56.01,5.28
antalaha,100,MG,1584236673,91,-14.9,50.28,79.45,38.5
horconcitos,9,PA,1584236673,75,8.47,-81.8,68.85,8.16
baykit,96,RU,1584236673,91,61.67,96.37,29.19,10.2
port-cartier,90,CA,1584236673,63,50.03,-66.87,27.0,17.22
ardabil,100,IR,1584236559,92,38.25,48.29,35.62,4.16
alice springs,90,AU,1584236405,34,-23.7,133.88,78.8,9.17
filadelfia,90,US,1584236550,34,39.95,-75.16,53.01,3.36
guerrero negro,60,MX,1584236673,71,27.98,-114.06,61.27,13.15
walvis bay,0,NA,1584236496,93,-22.96,14.51,62.01,5.82
guiberoua,100,CI,1584236674,91,6.24,-6.17,76.14,1.54
santo amaro da imperatriz,75,BR,1584236674,61,-27.69,-48.78,78.8,13.87
turukhansk,100,RU,1584236674,97,65.82,87.98,30.96,10.94
darhan,100,MN,1584236674,78,49.49,105.92,28.36,7.36
ternate,40,ID,1584236674,61,0.8,127.4,84.9,9.22
bandarbeyla,98,SO,1584236674,76,9.49,50.81,78.96,8.34
juneau,20,US,1584236597,48,58.3,-134.42,42.8,5.82
bairiki,96,KI,1584236675,76,1.33,172.98,83.03,13.73
aykhal,97,RU,1584236675,85,66.0,111.5,19.4,6.71
canoas,0,BR,1584236428,65,-29.92,-51.18,84.99,8.05
ilhabela,0,BR,1584236675,86,-23.78,-45.36,77.52,12.93
plaridel,40,PH,1584236675,62,14.89,120.86,88.0,3.36
tsiroanomandidy,42,MG,1584236675,93,-18.77,46.03,67.03,0.87
makurdi,45,NG,1584236676,15,7.74,8.51,75.67,4.74
curaca,93,BR,1584236676,67,-8.99,-39.91,76.84,12.93
olecko,0,PL,1584236676,94,54.03,22.51,24.01,5.37
muhos,87,FI,1584236676,79,64.81,25.99,19.99,10.29
kedrovyy,40,RU,1584236676,74,56.17,91.82,35.6,15.66
pringsewu,26,ID,1584236676,74,-5.36,104.97,83.21,4.63
iskateley,74,RU,1584236676,94,67.68,53.15,6.91,6.4
ruwi,75,OM,1584236676,41,23.6,58.55,77.0,10.29
yunyang,0,CN,1584236677,13,33.45,112.71,65.55,2.8
calbuco,0,CL,1584236677,87,-41.77,-73.13,50.0,4.7
krasnoselkup,100,RU,1584236677,96,65.7,82.47,27.91,12.84
bowen,75,AU,1584236677,58,-20.02,148.23,87.01,12.75
saint-francois,48,FR,1584236677,92,46.42,3.91,42.01,3.36
altoona,90,US,1584236677,80,40.52,-78.39,42.8,3.36
peque,18,CO,1584236677,96,7.02,-75.91,57.65,3.38
palmer,90,US,1584236677,48,42.16,-72.33,44.6,11.41
yar-sale,10,RU,1584236678,87,66.83,70.83,-8.54,10.74
cidreira,0,BR,1584236678,89,-30.18,-50.21,76.06,23.31
toora-khem,100,RU,1584236474,88,52.47,96.11,21.45,5.55
itoman,0,JP,1584236678,48,26.12,127.67,62.6,18.34
bonavista,46,CA,1584236678,84,48.65,-53.11,33.01,15.01
waipawa,0,NZ,1584236678,72,-41.41,175.52,66.0,9.17
aleksandrovsk-sakhalinskiy,93,RU,1584236678,84,50.9,142.16,20.44,17.36
bud,90,US,1584236678,80,39.45,-86.18,35.6,9.17
ulladulla,90,AU,1584236678,55,-35.35,150.47,62.6,12.75
sakakah,40,SA,1584236679,76,29.97,40.21,57.2,17.22
linfen,49,CN,1584236679,17,36.09,111.52,53.58,4.27
hayden,90,US,1584236679,67,47.77,-116.79,25.0,26.4
santa isabel,6,BR,1584236679,88,-23.32,-46.22,73.4,3.36
coahuayana,75,MX,1584236679,83,18.73,-103.68,75.2,11.41
samfya,100,ZM,1584236679,96,-11.36,29.56,64.27,2.1
coihaique,5,CL,1584236504,71,-45.58,-72.07,53.6,2.24
sept-iles,90,CA,1584236679,63,50.2,-66.38,27.0,17.22
cam ranh,40,VN,1584236680,79,11.92,109.16,84.2,12.75
kalmar,0,SE,1584236680,62,56.66,16.36,35.01,10.29
griffith,90,US,1584236680,85,41.53,-87.42,34.0,16.11
almaznyy,20,RU,1584236680,64,48.04,40.05,39.2,8.95
sheboygan,90,US,1584236680,68,43.73,-87.93,30.99,10.29
touros,98,BR,1584236680,94,-5.2,-35.46,77.0,4.7
montepuez,100,MZ,1584236680,98,-13.13,39.0,69.87,1.7
calabar,57,NG,1584236681,87,4.95,8.32,79.52,1.16
kyren,61,RU,1584236681,61,51.68,102.14,27.21,3.33
santa maria del monte,75,MX,1584236681,29,19.29,-99.82,66.2,8.05
colac,78,AU,1584236681,68,-38.33,143.58,64.0,5.32
san fernando,75,PH,1584236681,78,15.03,120.69,86.0,2.24
port hawkesbury,90,CA,1584236681,63,45.62,-61.35,32.0,25.28
lashio,100,MM,1584236681,26,22.93,97.75,86.0,2.62
lewiston,1,US,1584236682,44,44.1,-70.21,42.01,10.29
kushima,20,JP,1584236682,43,31.46,131.23,55.4,20.8
moerai,16,PF,1584236682,67,-22.43,-151.33,80.44,1.9
lang son,99,VN,1584236682,69,21.83,106.73,64.72,2.75
brunswick,1,US,1584236682,91,41.24,-81.84,35.01,6.93
yang talat,75,TH,1584236682,69,16.4,103.37,89.01,9.17
zhigansk,100,RU,1584236433,94,66.77,123.37,-3.84,23.09
tongliao,0,CN,1584236682,27,43.61,122.27,25.11,20.62
ostrovnoy,35,RU,1584236683,91,68.05,39.51,0.46,15.43
northam,100,GB,1584236671,92,51.03,-4.22,50.0,15.99
shaki,90,AZ,1584236683,87,41.08,47.17,51.8,3.58
narsaq,100,GL,1584236683,67,60.92,-46.05,21.2,3.36
tevriz,97,RU,1584236683,91,57.51,72.4,31.86,7.49
imeni poliny osipenko,0,RU,1584236683,62,52.42,136.49,17.85,2.51
moshupa,0,BW,1584236683,94,-24.78,25.42,68.0,3.36
hukuntsi,0,BW,1584236684,53,-24.0,21.75,72.27,7.07
humaita,99,BR,1584236684,98,-7.51,-63.02,73.71,4.59
gizo,100,SB,1584236684,75,-8.1,156.84,83.88,10.2
